Seed,Alpha,Inf_Prob,Imputer,Model,MIM,Score,Time
42,0.1,0.0,mean,linear,Dynamic_MIM,0.924337275046995,1.1375360488891602
42,0.1,0.0,mean,linear,Dynamic_MIM_wGA,0.6274827871418659,0.945138692855835
42,0.1,0.0,mean,xgb,Dynamic_MIM,0.9144646623314446,39.52368354797363
42,0.1,0.0,mean,xgb,Dynamic_MIM_wGA,0.9201839108866291,56.84472966194153
42,0.1,0.0,mean,mlp,Dynamic_MIM,0.6326956991871339,1.2940950393676758
42,0.1,0.0,mean,mlp,Dynamic_MIM_wGA,0.5960977217183819,1.6040074825286865
42,0.1,0.1,mean,linear,Dynamic_MIM,0.8112674367007845,2.8443868160247803
42,0.1,0.1,mean,linear,Dynamic_MIM_wGA,0.6165721193687231,0.961230993270874
42,0.1,0.1,mean,xgb,Dynamic_MIM,0.6740163453326703,39.76017093658447
42,0.1,0.1,mean,xgb,Dynamic_MIM_wGA,0.6801938204501384,54.303141832351685
42,0.1,0.1,mean,mlp,Dynamic_MIM,0.6477659665427586,1.3319239616394043
42,0.1,0.1,mean,mlp,Dynamic_MIM_wGA,0.6098651209125966,1.6460387706756592
42,0.1,0.2,mean,linear,Dynamic_MIM,0.6472604899470953,2.4053099155426025
42,0.1,0.2,mean,linear,Dynamic_MIM_wGA,0.5890202137746102,0.9776086807250977
42,0.1,0.2,mean,xgb,Dynamic_MIM,0.5794823212923746,43.463581800460815
42,0.1,0.2,mean,xgb,Dynamic_MIM_wGA,0.5798081873194979,58.16860342025757
42,0.1,0.2,mean,mlp,Dynamic_MIM,0.6269644562279312,1.4639334678649902
42,0.1,0.2,mean,mlp,Dynamic_MIM_wGA,0.5737959851487242,1.5916328430175781
42,0.1,0.3,mean,linear,Dynamic_MIM,0.6175297213755409,2.6860222816467285
42,0.1,0.3,mean,linear,Dynamic_MIM_wGA,0.6203439070960234,1.3046491146087646
42,0.1,0.3,mean,xgb,Dynamic_MIM,0.526118996976469,47.34164524078369
42,0.1,0.3,mean,xgb,Dynamic_MIM_wGA,0.5631104449889628,52.16883611679077
42,0.1,0.3,mean,mlp,Dynamic_MIM,0.5906516853021616,1.7103688716888428
42,0.1,0.3,mean,mlp,Dynamic_MIM_wGA,0.5850277237050042,1.7011780738830566
42,0.1,0.4,mean,linear,Dynamic_MIM,0.5934120481894778,2.7754573822021484
42,0.1,0.4,mean,linear,Dynamic_MIM_wGA,0.6371672743036144,1.3204469680786133
42,0.1,0.4,mean,xgb,Dynamic_MIM,0.5537122302420154,52.302104234695435
42,0.1,0.4,mean,xgb,Dynamic_MIM_wGA,0.5354581018962556,57.210233211517334
42,0.1,0.4,mean,mlp,Dynamic_MIM,0.583452837966506,1.963463306427002
42,0.1,0.4,mean,mlp,Dynamic_MIM_wGA,0.5653948164093663,1.8574073314666748
42,0.1,0.5,mean,linear,Dynamic_MIM,0.5893889353292046,2.883004903793335
42,0.1,0.5,mean,linear,Dynamic_MIM_wGA,0.6450279283996576,1.3042948246002197
42,0.1,0.5,mean,xgb,Dynamic_MIM,0.5413777274648406,53.08886384963989
42,0.1,0.5,mean,xgb,Dynamic_MIM_wGA,0.5623876551967605,59.366554737091064
42,0.1,0.5,mean,mlp,Dynamic_MIM,0.5807095296782042,2.3705878257751465
42,0.1,0.5,mean,mlp,Dynamic_MIM_wGA,0.5756497433771347,2.21140193939209
42,0.1,0.6,mean,linear,Dynamic_MIM,0.5727498687138532,2.9706952571868896
42,0.1,0.6,mean,linear,Dynamic_MIM_wGA,0.6111264757966497,1.277622938156128
42,0.1,0.6,mean,xgb,Dynamic_MIM,0.4956748198827067,55.755560874938965
42,0.1,0.6,mean,xgb,Dynamic_MIM_wGA,0.5018510485060218,59.42915678024292
42,0.1,0.6,mean,mlp,Dynamic_MIM,0.5310889155213756,2.42321515083313
42,0.1,0.6,mean,mlp,Dynamic_MIM_wGA,0.5778046963689506,2.099838972091675
42,0.1,0.7,mean,linear,Dynamic_MIM,0.5857159824186771,3.163663864135742
42,0.1,0.7,mean,linear,Dynamic_MIM_wGA,0.6309000012141042,1.2158029079437256
42,0.1,0.7,mean,xgb,Dynamic_MIM,0.5201173217503775,56.388071060180664
42,0.1,0.7,mean,xgb,Dynamic_MIM_wGA,0.5192709869285017,59.77896165847778
42,0.1,0.7,mean,mlp,Dynamic_MIM,0.5521537415490204,2.6063218116760254
42,0.1,0.7,mean,mlp,Dynamic_MIM_wGA,0.5949945837610016,2.07315993309021
42,0.1,0.8,mean,linear,Dynamic_MIM,0.5840270487026055,3.2659499645233154
42,0.1,0.8,mean,linear,Dynamic_MIM_wGA,0.6623979615738792,1.2866981029510498
42,0.1,0.8,mean,xgb,Dynamic_MIM,0.5084634487089204,57.02934002876282
42,0.1,0.8,mean,xgb,Dynamic_MIM_wGA,0.5250854887000355,59.328893184661865
42,0.1,0.8,mean,mlp,Dynamic_MIM,0.5375288647473017,2.62131929397583
42,0.1,0.8,mean,mlp,Dynamic_MIM_wGA,0.5530528630928013,1.9858088493347168
42,0.1,0.9,mean,linear,Dynamic_MIM,0.591591810752989,3.2756009101867676
42,0.1,0.9,mean,linear,Dynamic_MIM_wGA,0.6702290515404042,1.0448038578033447
42,0.1,0.9,mean,xgb,Dynamic_MIM,0.507797293773383,57.6855309009552
42,0.1,0.9,mean,xgb,Dynamic_MIM_wGA,0.5110974385541165,59.12810802459717
42,0.1,0.9,mean,mlp,Dynamic_MIM,0.568494188430196,2.5928239822387695
42,0.1,0.9,mean,mlp,Dynamic_MIM_wGA,0.5278980168451446,2.071915864944458
42,0.1,1.0,mean,linear,Dynamic_MIM,0.5663048666691711,3.3086180686950684
42,0.1,1.0,mean,linear,Dynamic_MIM_wGA,0.6695754634022051,1.1207330226898193
42,0.1,1.0,mean,xgb,Dynamic_MIM,0.49433181293904405,59.207324266433716
42,0.1,1.0,mean,xgb,Dynamic_MIM_wGA,0.509997750537213,59.13036799430847
42,0.1,1.0,mean,mlp,Dynamic_MIM,0.5935716570841415,2.6818771362304688
42,0.1,1.0,mean,mlp,Dynamic_MIM_wGA,0.5753313264973245,2.0830800533294678
84,0.1,0.0,mean,linear,Dynamic_MIM,0.873682455671374,2.743297815322876
84,0.1,0.0,mean,linear,Dynamic_MIM_wGA,0.6119304233573877,0.9355862140655518
84,0.1,0.0,mean,xgb,Dynamic_MIM,0.9192598013844185,41.71518802642822
84,0.1,0.0,mean,xgb,Dynamic_MIM_wGA,0.9279505216129343,56.592357873916626
84,0.1,0.0,mean,mlp,Dynamic_MIM,0.6554047548208253,1.4968383312225342
84,0.1,0.0,mean,mlp,Dynamic_MIM_wGA,0.6133725583604367,1.77882719039917
84,0.1,0.1,mean,linear,Dynamic_MIM,0.7981559287646497,2.891566276550293
84,0.1,0.1,mean,linear,Dynamic_MIM_wGA,0.6398146069657934,0.9506118297576904
84,0.1,0.1,mean,xgb,Dynamic_MIM,0.7499308958975148,40.77154517173767
84,0.1,0.1,mean,xgb,Dynamic_MIM_wGA,0.7491491832483456,56.27854132652283
84,0.1,0.1,mean,mlp,Dynamic_MIM,0.6193652114109921,1.3237299919128418
84,0.1,0.1,mean,mlp,Dynamic_MIM_wGA,0.626231345206794,1.8081929683685303
84,0.1,0.2,mean,linear,Dynamic_MIM,0.7490420078451934,3.160407304763794
84,0.1,0.2,mean,linear,Dynamic_MIM_wGA,0.5973775247455151,0.9810214042663574
84,0.1,0.2,mean,xgb,Dynamic_MIM,0.5754009182372617,40.6677930355072
84,0.1,0.2,mean,xgb,Dynamic_MIM_wGA,0.5605173346970451,56.86885929107666
84,0.1,0.2,mean,mlp,Dynamic_MIM,0.5572921651744598,1.34269118309021
84,0.1,0.2,mean,mlp,Dynamic_MIM_wGA,0.5835126642511308,1.6431081295013428
84,0.1,0.3,mean,linear,Dynamic_MIM,0.5834505007444817,2.907067060470581
84,0.1,0.3,mean,linear,Dynamic_MIM_wGA,0.5699616495645629,1.0766880512237549
84,0.1,0.3,mean,xgb,Dynamic_MIM,0.5151664754003805,45.03521513938904
84,0.1,0.3,mean,xgb,Dynamic_MIM_wGA,0.5355027256619432,52.6920850276947
84,0.1,0.3,mean,mlp,Dynamic_MIM,0.5797748083486922,2.1216211318969727
84,0.1,0.3,mean,mlp,Dynamic_MIM_wGA,0.530724706116754,1.948747158050537
84,0.1,0.4,mean,linear,Dynamic_MIM,0.567140983870742,2.780672073364258
84,0.1,0.4,mean,linear,Dynamic_MIM_wGA,0.5501420952085886,1.0398752689361572
84,0.1,0.4,mean,xgb,Dynamic_MIM,0.5120729072900446,45.55368900299072
84,0.1,0.4,mean,xgb,Dynamic_MIM_wGA,0.5239788595037536,51.76621103286743
84,0.1,0.4,mean,mlp,Dynamic_MIM,0.5717622636451185,1.7245781421661377
84,0.1,0.4,mean,mlp,Dynamic_MIM_wGA,0.5539808564098315,1.9389970302581787
84,0.1,0.5,mean,linear,Dynamic_MIM,0.5632125794515919,1.1700100898742676
84,0.1,0.5,mean,linear,Dynamic_MIM_wGA,0.5508815455282807,1.431190013885498
84,0.1,0.5,mean,xgb,Dynamic_MIM,0.5006130953801795,48.7232391834259
84,0.1,0.5,mean,xgb,Dynamic_MIM_wGA,0.5417417207583123,49.97040295600891
84,0.1,0.5,mean,mlp,Dynamic_MIM,0.5476211021632049,1.8565800189971924
84,0.1,0.5,mean,mlp,Dynamic_MIM_wGA,0.5467647181017118,1.8294878005981445
84,0.1,0.6,mean,linear,Dynamic_MIM,0.5303254537380768,1.449967861175537
84,0.1,0.6,mean,linear,Dynamic_MIM_wGA,0.5469924061612369,1.5210108757019043
84,0.1,0.6,mean,xgb,Dynamic_MIM,0.5098089951505322,50.61732506752014
84,0.1,0.6,mean,xgb,Dynamic_MIM_wGA,0.5333832504702696,54.37024712562561
84,0.1,0.6,mean,mlp,Dynamic_MIM,0.5433355867415925,1.8840320110321045
